school_name,student_1,student_2,student_3,student_4,student_5,student_6,teacher
천안봉서초등학교,79,92,107,115,104,101,31
천안부대초등학교,37,28,26,17,25,15,9
천안부성초등학교,113,106,98,121,115,106,31
천안부영초등학교,52,62,53,62,62,70,21
천안서초등학교,74,93,87,113,106,86,32
천안성정초등학교,45,52,58,51,62,58,17
천안신부초등학교,95,84,106,108,104,166,30
천안신안초등학교,101,95,95,113,105,92,31
천안신용초등학교,99,103,131,154,156,134,39
천안신촌초등학교,25,35,24,35,40,24,15
천안쌍용초등학교,102,88,107,106,121,132,33
천안업성초등학교,9,7,10,9,14,10,7
천안용암초등학교,81,98,115,100,119,159,32
천안월봉초등학교,112,131,142,144,184,162,50
천안일봉초등학교,65,74,61,82,72,80,22
천안중앙초등학교,9,3,9,8,15,5,8
천안청수초등학교,70,54,71,65,68,73,23
천안초등학교,36,28,21,26,26,34,15
풍세초등학교,9,6,4,7,6,7,8
행정초등학교,2,2,3,6,3,12,7
환서초등학교,397,352,370,420,370,351,94
가남초등학교,12,8,13,5,7,8,8
남양초등학교,9,7,10,8,5,9,8
목면초등학교,5,6,2,4,4,7,7
미당초등학교,1,2,0,2,3,3,6
수정초등학교,8,14,13,13,14,11,7
운곡초등학교,3,4,9,4,8,7,8
장평초등학교,4,6,4,6,5,5,7
정산초등학교,13,18,19,13,30,20,9
청남초등학교,4,5,4,2,4,8,7
청송초등학교,6,8,4,11,4,10,9
청양초등학교,48,42,58,72,66,67,22
합천초등학교,1,4,9,15,7,10,7
계성초등학교,112,110,127,136,136,186,39
고대초등학교,20,19,14,18,22,10,8
고산초등학교,11,8,11,10,9,7,8
기지초등학교,305,321,307,300,315,263,83
당산초등학교,40,28,39,42,44,44,14
당진초등학교,77,81,73,101,102,114,29
면천초등학교,6,10,11,10,7,19,7
북창초등학교,32,15,22,19,17,17,10
삼봉초등학교,10,12,15,19,22,24,8
삼봉초등학교난지분교장,0,0,0,0,2,0,1
상록초등학교,64,57,52,55,57,50,17
서정초등학교,116,109,121,127,141,125,37
석문초등학교,21,16,11,13,15,13,10
성당초등학교,18,20,25,16,15,14,9
송산초등학교,19,13,17,26,18,25,12
송악초등학교,38,43,33,51,33,44,16
순성초등학교,10,19,16,16,18,24,7
신촌초등학교,2,1,2,6,1,5,7
신평초등학교,28,37,30,36,52,33,15
우강초등학교,15,15,11,10,15,9,7
유곡초등학교,53,78,53,52,51,38,22
전대초등학교,20,15,12,18,16,3,7
정미초등학교,4,6,4,4,0,4,6
조금초등학교,12,9,9,11,9,11,7
천의초등학교,2,13,10,6,11,8,8
초락초등학교,3,4,2,2,3,5,8
탑동초등학교,233,228,247,270,290,306,74
한정초등학교,6,6,9,7,8,15,8
합덕초등학교,33,26,44,52,34,53,16
합도초등학교,12,11,8,21,18,16,9
가사초등학교,15,19,15,15,15,15,7
강당초등학교,12,9,10,8,11,6,8
고북초등학교,7,11,6,18,6,10,7
대산초등학교,43,63,46,53,56,57,18
동암초등학교,13,13,14,17,19,15,7
명지초등학교,7,22,7,16,7,8,7
부석초등학교,10,12,9,11,8,8,8
부석초등학교간월도분교장,0,2,0,0,4,3,4
부성초등학교,76,72,75,82,82,87,28
부춘초등학교,122,106,125,131,118,152,41
서동초등학교,76,75,72,86,88,91,29
서령초등학교,25,39,39,43,39,47,15
서림초등학교,121,121,119,159,134,133,34
서산초등학교,57,53,69,61,48,61,22
성연초등학교,246,226,226,239,195,188,64
언암초등학교,24,31,27,27,21,31,12
오산초등학교,5,5,13,9,7,8,7
운산초등학교,8,6,11,6,16,10,8
운신초등학교,8,6,4,13,8,6,8
음암초등학교,43,35,36,38,44,47,15
인지초등학교,52,49,53,54,46,61,21
차동초등학교,20,15,20,10,20,15,9
팔봉초등학교,13,8,9,12,9,8,7
팔봉초등학교고파도분교장,0,0,0,0,0,2,1
학돌초등학교,98,102,78,105,105,82,29
해미초등학교,22,23,27,39,35,31,14
기산초등학교,1,5,0,7,2,7,8
마동초등학교,6,18,18,13,21,15,7
마산초등학교,3,10,2,5,5,9,8
문산초등학교,2,1,5,3,2,1,8
부내초등학교,3,9,9,9,6,12,7
비인초등학교,7,2,3,6,3,5,8
서남초등학교,8,4,3,9,12,5,7
서도초등학교,19,21,15,13,13,17,8
서면초등학교,6,4,3,1,6,3,9
서천초등학교,85,92,104,107,110,109,32
송림초등학교,7,6,8,5,10,13,8
송석초등학교,5,4,4,4,11,5,8
시초초등학교,12,7,12,14,13,18,7
오성초등학교,5,5,7,5,6,5,8
장항중앙초등학교,28,32,38,23,39,38,15
장항초등학교,26,19,16,25,28,28,14
한산초등학교,4,8,13,4,9,4,8
화양초등학교,5,3,6,2,3,6,7
개화초등학교,3,11,8,7,3,11,8
관당초등학교,1,3,6,4,5,5,6
관창초등학교,17,14,13,11,17,16,9
광명초등학교,1,3,3,5,4,1,7
낙동초등학교,3,5,2,3,6,4,7
남포초등학교,4,3,5,9,8,6,8
대관초등학교,33,46,43,44,63,65,20
대남초등학교,14,13,17,17,22,31,10
대창초등학교,3,3,2,12,6,8,8
대천초등학교,98,94,94,108,116,125,34
오천초등학교삽시분교장,0,0,0,0,3,0,1
성주초등학교,7,11,8,2,8,9,10
송학초등학교,10,9,8,10,10,10,8
오천초등학교,5,2,1,6,5,3,7
옥계초등학교,10,15,5,6,14,10,8
청파초등학교외연도분교장,0,1,2,0,1,1,5
웅천초등학교,6,10,0,9,8,7,7
월전초등학교,8,4,5,11,3,4,8
주산초등학교,2,2,2,7,9,1,8
주포초등학교,4,4,5,6,7,6,7
천북초등학교,4,7,6,6,5,9,8
청라초등학교,6,7,8,6,15,8,8
청룡초등학교,7,8,11,6,13,11,8
청룡초등학교장고분교장,0,3,0,0,0,3,3
청보초등학교,14,9,9,13,12,8,8
청소초등학교,4,8,6,4,9,11,7
청파초등학교,6,12,11,11,5,17,8
청파초등학교호도분교장,0,0,2,0,0,2,2
한내초등학교,27,35,38,40,43,49,16
고남초등학교,5,11,4,9,7,4,7
근흥초등학교,3,7,2,6,5,4,7
남면초등학교,5,2,4,3,6,5,8
대기초등학교,11,8,12,12,15,7,8
모항초등학교,3,5,3,6,4,6,7
방포초등학교,5,7,3,4,7,9,7
삼성초등학교,4,6,8,12,7,8,7
소원초등학교,0,6,5,4,3,2,6
소원초등학교의항분교장,0,0,2,0,2,0,3
송암초등학교,7,12,7,9,7,11,7
시목초등학교,12,3,9,11,9,4,7
안면초등학교,15,18,26,19,30,27,10
안중초등학교,4,2,3,7,3,0,6
안흥초등학교,3,4,5,6,5,1,7
안흥초등학교신진도분교장,0,0,1,2,0,0,3
원북초등학교,3,10,9,13,11,13,8
이원초등학교,4,4,4,6,3,6,7
이원초등학교관동분교장,0,4,0,4,0,3,4
